compound_ids,canonical_smiles,measured_logS,cluster_id,split
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,169,test
Fenfuram,Cc1occc1C(=O)Nc1ccccc1,-3.3,10,train
citral,CC(C)=CCCC(C)=CC=O,-2.06,227,train
Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,1,train
Thiophene,c1ccsc1,-1.33,421,test
benzothiazole,c1ccc2scnc2c1,-1.5,420,validation
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,2,train
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,6,train
Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,80,train
Rotenone,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,419,train
2-pyrrolidone,O=C1CCCN1,1.07,418,test
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,2,train
1-Pentene ,C=CCCC,-2.68,27,train
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,52,train
Tetradecane,CCCCCCCCCCCCCC,-7.96,0,train
2-Chloropropane,CC(C)Cl,-1.41,45,train
2-Methylbutanol,CCC(C)CO,-0.47,14,train
Benzonitrile,N#Cc1ccccc1,-1.0,171,train
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,110,train
2-Undecanol,CCCCCCCCCC(C)O,-2.94,0,train
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,2,train
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,417,validation
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,68,train
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.35,10,train
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,58,train
1-Heptanol,CCCCCCCO,-1.81,0,train
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,100,train
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,17,train
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,15,train
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,0,train
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,11,train
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,68,train
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,33,train
"1,1-Dichloroethylene",C=C(Cl)Cl,-1.64,416,train
1-Methylfluorene,Cc1cccc2c1Cc1ccccc1-2,-5.22,78,train
Valeraldehyde,CCCCC=O,-0.85,27,train
Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.504,5,train
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,103,train
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,415,test
1-Iodoheptane,CCCCCCCI,-4.81,0,train
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.88,5,train
4-Pentene-1-ol,C=CCCCO,-0.15,27,train
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,46,train
menthol,CC1CCC(C(C)C)C(O)C1,-2.53,414,validation
Isopropyl formate,CC(C)OC=O,-0.63,413,train
2-Heptanol ,CCCCCC(C)O,-1.55,0,train
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,10,train
brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,124,train
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,412,test
"2,7-dimethylquinoline",Cc1ccc2ccc(C)nc2c1,-1.94,118,train
1-Octyne ,C#CCCCCCC,-3.66,0,train
cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,52,train
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,1,train
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,411,validation
"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,4,train
2-Methylphenol,Cc1ccccc1O,-0.62,24,train
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,151,train
