compound_ids,original_smiles,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,1,,0.0,unique_keep
Fenfuram,Cc1occc1C(=O)Nc2ccccc2,Cc1occc1C(=O)Nc1ccccc1,-3.3,1,,0.0,unique_keep
citral,CC(C)=CCCC(C)=CC(=O),CC(C)=CCCC(C)=CC=O,-2.06,1,,0.0,unique_keep
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,1,,0.0,unique_keep
Thiophene,c1ccsc1,c1ccsc1,-1.33,1,,0.0,unique_keep
benzothiazole,c2ccc1scnc1c2 ,c1ccc2scnc2c1,-1.5,1,,0.0,unique_keep
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,1,,0.0,unique_keep
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,1,,0.0,unique_keep
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,1,,0.0,unique_keep
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,1,,0.0,unique_keep
2-pyrrolidone,O=C1CCCN1,O=C1CCCN1,1.07,1,,0.0,unique_keep
2-Chloronapthalene,Clc1ccc2ccccc2c1,Clc1ccc2ccccc2c1,-4.14,1,,0.0,unique_keep
1-Pentene ,CCCC=C,C=CCCC,-2.68,1,,0.0,unique_keep
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,1,,0.0,unique_keep
Tetradecane,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,-7.96,1,,0.0,unique_keep
2-Chloropropane,CC(C)Cl,CC(C)Cl,-1.41,1,,0.0,unique_keep
2-Methylbutanol,CCC(C)CO,CCC(C)CO,-0.47,1,,0.0,unique_keep
Benzonitrile,N#Cc1ccccc1,N#Cc1ccccc1,-1.0,1,,0.0,unique_keep
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,1,,0.0,unique_keep
2-Undecanol,CCCCCCCCCC(C)O,CCCCCCCCCC(C)O,-2.94,1,,0.0,unique_keep
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,1,,0.0,unique_keep
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,1,,0.0,unique_keep
Phorate,CCOP(=S)(OCC)SCSCC,CCOP(=S)(OCC)SCSCC,-4.11,1,,0.0,unique_keep
Phenacetin,CCOc1ccc(NC(=O)C)cc1,CCOc1ccc(NC(C)=O)cc1,-2.35,1,,0.0,unique_keep
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,1,,0.0,unique_keep
1-Heptanol,CCCCCCCO,CCCCCCCO,-1.81,1,,0.0,unique_keep
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,1,,0.0,unique_keep
