compound_ids,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,1,,0.0,unique_keep,457.4320000000001,-3.108019999999997,202.32,7,12,7,3,1,32,0.65
Fenfuram,Cc1occc1C(=O)Nc1ccccc1,-3.3,1,,0.0,unique_keep,201.22500000000002,2.840320000000001,42.24,1,2,2,2,2,15,0.08333333333333333
citral,CC(C)=CCCC(C)=CC=O,-2.06,1,,0.0,unique_keep,152.237,2.878000000000001,17.07,0,1,4,0,0,11,0.5
Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,1,,0.0,unique_keep,278.354,6.299400000000004,0.0,0,0,0,5,5,22,0.0
Thiophene,c1ccsc1,-1.33,1,,0.0,unique_keep,84.14299999999999,1.7480999999999998,0.0,0,1,0,1,1,5,0.0
benzothiazole,c1ccc2scnc2c1,-1.5,1,,0.0,unique_keep,135.191,2.2962999999999996,12.89,0,2,0,2,2,9,0.0
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,1,,0.0,unique_keep,326.437,6.620600000000001,0.0,0,0,1,2,2,17,0.0
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,1,,0.0,unique_keep,272.3879999999999,3.6092000000000026,40.46,2,2,0,4,1,20,0.6666666666666666
Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,1,,0.0,unique_keep,380.913,4.481400000000002,12.53,0,1,0,5,0,19,0.8333333333333334
Rotenone,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,1,,0.0,unique_keep,394.4230000000001,3.7033000000000023,63.22,0,6,3,5,2,29,0.34782608695652173
2-pyrrolidone,O=C1CCCN1,1.07,1,,0.0,unique_keep,85.10600000000001,-0.10360000000000008,29.1,1,1,0,1,0,6,0.75
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,1,,0.0,unique_keep,162.61899999999997,3.4932000000000016,0.0,0,0,0,2,2,11,0.0
1-Pentene ,C=CCCC,-2.68,1,,0.0,unique_keep,70.13499999999999,1.9725,0.0,0,0,2,0,0,5,0.6
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,1,,0.0,unique_keep,218.25599999999994,0.5378999999999999,58.2,2,2,2,2,1,16,0.3333333333333333
Tetradecane,CCCCCCCCCCCCCC,-7.96,1,,0.0,unique_keep,198.39399999999995,5.707400000000006,0.0,0,0,11,0,0,14,1.0
2-Chloropropane,CC(C)Cl,-1.41,1,,0.0,unique_keep,78.542,1.6336,0.0,0,0,0,0,0,4,1.0
2-Methylbutanol,CCC(C)CO,-0.47,1,,0.0,unique_keep,88.14999999999999,1.0248,20.23,1,1,2,0,0,6,1.0
Benzonitrile,N#Cc1ccccc1,-1.0,1,,0.0,unique_keep,103.12399999999997,1.5582799999999999,23.79,0,1,0,1,1,8,0.0
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,1,,0.0,unique_keep,304.35200000000003,3.5847200000000026,53.47,0,6,7,1,1,19,0.6666666666666666
