compound_ids,canonical_smiles,measured_logS,scaffold,is_acyclic_scaffold,split
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1,False,train
Fenfuram,Cc1occc1C(=O)Nc1ccccc1,-3.3,O=C(Nc1ccccc1)c1ccoc1,False,train
citral,CC(C)=CCCC(C)=CC=O,-2.06,,True,train
Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,False,train
Thiophene,c1ccsc1,-1.33,c1ccsc1,False,test
benzothiazole,c1ccc2scnc2c1,-1.5,c1ccc2scnc2c1,False,train
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,c1ccc(-c2ccccc2)cc1,False,train
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,c1ccc2c(c1)CCC1C2CCC2CCCC21,False,train
Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,C1=CC2CC1C1C3CC(C4OC34)C21,False,train
Rotenone,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3,False,test
2-pyrrolidone,O=C1CCCN1,1.07,O=C1CCCN1,False,test
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,c1ccc2ccccc2c1,False,train
1-Pentene ,C=CCCC,-2.68,,True,train
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,O=C1NCNC(=O)C1c1ccccc1,False,train
Tetradecane,CCCCCCCCCCCCCC,-7.96,,True,train
2-Chloropropane,CC(C)Cl,-1.41,,True,train
2-Methylbutanol,CCC(C)CO,-0.47,,True,train
Benzonitrile,N#Cc1ccccc1,-1.0,c1ccccc1,False,train
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,c1cncnc1,False,validation
2-Undecanol,CCCCCCCCCC(C)O,-2.94,,True,train
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,c1ccc(-c2ccccc2)cc1,False,train
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,False,train
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,,True,train
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.35,c1ccccc1,False,train
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,c1ccccc1,False,train
1-Heptanol,CCCCCCCO,-1.81,,True,train
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,False,train
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,O=C1CC(=O)NC(=O)N1,False,train
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,C=C(c1ccccc1)c1ccccc1,False,test
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,,True,train
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,c1ccccc1,False,train
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,,True,train
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,O=C(Nc1ccccc1)Oc1ccccc1,False,validation
"1,1-Dichloroethylene",C=C(Cl)Cl,-1.64,,True,train
1-Methylfluorene,Cc1cccc2c1Cc1ccccc1-2,-5.22,c1ccc2c(c1)Cc1ccccc1-2,False,test
Valeraldehyde,CCCCC=O,-0.85,,True,train
Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.504,c1ccc(Nc2ccccc2)cc1,False,validation
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,c1ccccc1,False,train
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,C1CCNCC1,False,test
1-Iodoheptane,CCCCCCCI,-4.81,,True,train
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.88,c1ccc(-c2ccccc2)cc1,False,train
4-Pentene-1-ol,C=CCCCO,-0.15,,True,train
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1,False,train
menthol,CC1CCC(C(C)C)C(O)C1,-2.53,C1CCCCC1,False,train
Isopropyl formate,CC(C)OC=O,-0.63,,True,train
2-Heptanol ,CCCCCC(C)O,-1.55,,True,train
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,c1ccccc1,False,train
brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,O=c1cccnn1-c1ccccc1,False,train
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,C1=CC(c2ccccc2)C=CN1,False,validation
"2,7-dimethylquinoline",Cc1ccc2ccc(C)nc2c1,-1.94,c1ccc2ncccc2c1,False,test
1-Octyne ,C#CCCCCCC,-3.66,,True,train
cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,False,train
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,c1ccc2c(c1)ccc1c3ccccc3ccc21,False,train
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,O=c1cc[nH]c(=O)[nH]1,False,train
"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,c1ccc(-c2ccccc2)cc1,False,train
2-Methylphenol,Cc1ccccc1O,-0.62,c1ccccc1,False,train
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,,True,train
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,c1ccc2ccccc2c1,False,train
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,c1ccc2c(c1)ccc1c3ccccc3ccc21,False,train
2-Pentanone,CCCC(C)=O,-0.19,,True,train
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,c1ccc(-c2ccccc2)cc1,False,train
Methyl butyrate,CCCOC(=O)CC,-0.82,,True,train
