cluster_id,split,n_molecules,mean_logS
0,train,59,-3.799593220338983
1,train,35,-6.032857142857143
2,train,29,-5.3934482758620685
6,train,23,-4.322521739130435
5,train,21,-3.567095238095238
9,train,20,-2.3541
4,train,20,-4.5055
3,train,19,-1.8982105263157896
10,train,18,-2.3858888888888887
7,train,18,-2.038888888888889
13,train,16,-3.98575
17,train,16,-2.2258125
23,train,15,-4.124266666666666
11,train,14,-3.0857142857142854
14,train,13,-1.2607692307692309
20,train,13,-3.280307692307692
8,train,12,-4.203333333333333
26,train,12,-1.455
19,train,11,-6.2318181818181815
30,train,11,-2.704818181818182
37,train,10,-3.5527
35,train,10,-7.1688
24,train,10,-1.8108999999999997
15,train,9,-5.021111111111111
45,train,8,-1.92625
61,train,7,-5.405142857142857
27,train,7,-2.1928571428571426
16,train,7,-1.7342857142857144
68,train,7,-4.282857142857143
32,train,7,-3.8569999999999998
58,train,7,-5.890571428571429
49,train,7,-2.8814285714285717
46,train,7,-2.4414285714285713
48,train,6,-1.9233333333333331
80,train,6,-6.145666666666667
72,train,6,-0.8250000000000001
50,train,6,-4.642
38,train,6,-1.3483333333333334
70,train,6,0.11100000000000003
25,train,6,-2.375
22,train,5,-0.876
78,train,5,-5.1339999999999995
52,train,5,-2.7132
43,train,5,-1.0539999999999998
42,train,5,-4.454
47,train,5,-4.1384
100,train,4,-1.23975
28,train,4,-0.8074999999999999
113,train,4,-2.94525
105,train,4,-3.35
89,train,4,-1.765
85,train,4,-3.72425
63,train,4,-2.0625
62,train,4,-0.8075
34,train,4,-5.77
41,train,4,-1.96475
108,train,4,-3.67375
96,train,4,-3.9799999999999995
39,train,4,-4.75325
88,train,4,-6.0455000000000005
84,train,4,-0.66
82,train,4,-0.47750000000000004
36,train,4,-1.29675
156,train,3,-0.87
12,train,3,-2.498666666666667
44,train,3,-1.5
51,train,3,-2.378
53,train,3,-1.1966666666666665
158,train,3,-2.6056666666666666
31,train,3,-2.356666666666667
154,train,3,-4.05
141,train,3,-3.6033333333333335
54,train,3,-1.7466666666666668
168,train,3,-2.969
130,train,3,-4.725666666666666
129,train,3,-0.19333333333333333
166,train,3,0.9866666666666667
139,train,3,0.84
64,train,3,-1.3800000000000001
123,train,3,-2.6233333333333335
112,train,3,-2.2533333333333334
