canonical_smiles,n_source_records,label_min,label_max,label_range,action
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,1,-0.77,-0.77,0.0,keep_unique
Cc1occc1C(=O)Nc1ccccc1,1,-3.3,-3.3,0.0,keep_unique
CC(C)=CCCC(C)=CC=O,1,-2.06,-2.06,0.0,keep_unique
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,1,-7.87,-7.87,0.0,keep_unique
c1ccsc1,1,-1.33,-1.33,0.0,keep_unique
c1ccc2scnc2c1,1,-1.5,-1.5,0.0,keep_unique
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,1,-7.32,-7.32,0.0,keep_unique
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,-5.03,-5.03,0.0,keep_unique
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,1,-6.29,-6.29,0.0,keep_unique
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1,-4.42,-4.42,0.0,keep_unique
O=C1CCCN1,1,1.07,1.07,0.0,keep_unique
Clc1ccc2ccccc2c1,1,-4.14,-4.14,0.0,keep_unique
C=CCCC,1,-2.68,-2.68,0.0,keep_unique
CCC1(c2ccccc2)C(=O)NCNC1=O,1,-2.64,-2.64,0.0,keep_unique
CCCCCCCCCCCCCC,1,-7.96,-7.96,0.0,keep_unique
CC(C)Cl,1,-1.41,-1.41,0.0,keep_unique
CCC(C)CO,1,-0.47,-0.47,0.0,keep_unique
N#Cc1ccccc1,1,-1.0,-1.0,0.0,keep_unique
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,1,-3.64,-3.64,0.0,keep_unique
CCCCCCCCCC(C)O,1,-2.94,-2.94,0.0,keep_unique
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,1,-7.43,-7.43,0.0,keep_unique
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,1,-4.593999999999999,-4.593999999999999,0.0,keep_unique
CCOP(=S)(OCC)SCSCC,1,-4.11,-4.11,0.0,keep_unique
CCOc1ccc(NC(C)=O)cc1,1,-2.35,-2.35,0.0,keep_unique
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,-5.47,-5.47,0.0,keep_unique
CCCCCCCO,1,-1.81,-1.81,0.0,keep_unique
Cn1c(=O)c2[nH]cnc2n(C)c1=O,1,-1.39,-1.39,0.0,keep_unique
CCCCC1(CC)C(=O)NC(=O)NC1=O,1,-1.661,-1.661,0.0,keep_unique
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,-6.9,-6.9,0.0,keep_unique
CCCCCCCC(=O)OC,1,-3.17,-3.17,0.0,keep_unique
CCc1ccc(CC)cc1,1,-3.75,-3.75,0.0,keep_unique
CCOP(=S)(OCC)SCSC(C)(C)C,1,-4.755,-4.755,0.0,keep_unique
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,-4.805,-4.805,0.0,keep_unique
