,count,mean,std,min,25%,50%,75%,max
desc_mol_weight,1116.0,203.72667921146956,102.9882135606391,16.043,120.516,182.16749999999996,270.37199999999996,780.9490000000002
desc_logp,1116.0,2.4588504659498214,1.837058292262732,-7.571399999999989,1.4191799999999999,2.339600000000001,3.3944000000000023,10.388599999999993
desc_tpsa,1116.0,34.63711469534051,35.248862815474524,0.0,0.0,26.02,54.925,268.67999999999995
desc_hbd,1116.0,0.6899641577060932,1.069230308038907,0.0,0.0,0.0,1.0,11.0
desc_hba,1116.0,2.0591397849462365,2.1074492635363407,0.0,0.0,2.0,3.0,16.0
desc_rotatable_bonds,1116.0,2.171146953405018,2.643260476739297,0.0,0.0,1.0,3.0,23.0
desc_ring_count,1116.0,1.3888888888888888,1.320151581941423,0.0,0.0,1.0,2.0,8.0
desc_aromatic_ring_count,1116.0,0.9336917562724014,1.0071908231452191,0.0,0.0,1.0,2.0,7.0
desc_heavy_atom_count,1116.0,13.275089605734767,6.9004807456518265,1.0,8.0,12.0,18.0,55.0
desc_fraction_csp3,1116.0,0.4430752561386833,0.3749277853738115,0.0,0.1,0.35294117647058826,0.8,1.0
