canonical_smiles,count,mean,std,minimum,maximum,range
OCC(O)C(O)C(O)C(O)CO,2,0.5750000000000001,0.728319984622144,0.06,1.09,1.03
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,2,-4.281000000000001,0.17111984104714417,-4.402,-4.16,0.242
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2,-2.5629999999999997,0.13435028842544414,-2.658,-2.468,0.18999999999999995
CC12CCC(CC1)C(C)(C)O2,2,-1.69,0.07071067811865482,-1.74,-1.64,0.10000000000000009
CCC1(C(C)C)C(=O)NC(=O)NC1=O,2,-2.1790000000000003,0.043840620433565985,-2.21,-2.148,0.06199999999999983
Cc1ncc([N+](=O)[O-])n1CCO,2,-1.24,0.028284271247461926,-1.26,-1.22,0.040000000000000036
Brc1ccc2ccccc2c1,2,-4.4,0.0,-4.4,-4.4,0.0
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,2,-6.34,0.0,-6.34,-6.34,0.0
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2,-2.322,0.0,-2.322,-2.322,0.0
COc1ccccc1O,2,-1.96,0.0,-1.96,-1.96,0.0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2,-7.2,0.0,-7.2,-7.2,0.0
