compound_id,smiles,measured_logS,valid_smiles,canonical_smiles,fragment_count,multi_fragment,formal_charge,molecular_weight,heavy_atom_count
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,True,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,1,False,0,457.4320000000001,32
Fenfuram,Cc1occc1C(=O)Nc2ccccc2,-3.3,True,Cc1occc1C(=O)Nc1ccccc1,1,False,0,201.22500000000002,15
citral,CC(C)=CCCC(C)=CC(=O),-2.06,True,CC(C)=CCCC(C)=CC=O,1,False,0,152.237,11
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,True,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,1,False,0,278.354,22
Thiophene,c1ccsc1,-1.33,True,c1ccsc1,1,False,0,84.14299999999999,5
benzothiazole,c2ccc1scnc1c2 ,-1.5,True,c1ccc2scnc2c1,1,False,0,135.191,9
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,True,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,1,False,0,326.437,17
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,True,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,False,0,272.388,20
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,True,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,1,False,0,380.913,19
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,True,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1,False,0,394.42300000000023,29
2-pyrrolidone,O=C1CCCN1,1.07,True,O=C1CCCN1,1,False,0,85.10600000000001,6
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,True,Clc1ccc2ccccc2c1,1,False,0,162.61899999999997,11
1-Pentene ,CCCC=C,-2.68,True,C=CCCC,1,False,0,70.135,5
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,True,CCC1(c2ccccc2)C(=O)NCNC1=O,1,False,0,218.256,16
Tetradecane,CCCCCCCCCCCCCC,-7.96,True,CCCCCCCCCCCCCC,1,False,0,198.39399999999995,14
2-Chloropropane,CC(C)Cl,-1.41,True,CC(C)Cl,1,False,0,78.542,4
2-Methylbutanol,CCC(C)CO,-0.47,True,CCC(C)CO,1,False,0,88.14999999999999,6
Benzonitrile,N#Cc1ccccc1,-1.0,True,N#Cc1ccccc1,1,False,0,103.12399999999997,8
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,True,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,1,False,0,304.35200000000003,19
2-Undecanol,CCCCCCCCCC(C)O,-2.94,True,CCCCCCCCCC(C)O,1,False,0,172.312,12
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,True,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,1,False,0,326.437,17
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999,True,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,1,False,0,234.29899999999995,17
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,True,CCOP(=S)(OCC)SCSCC,1,False,0,260.38599999999997,13
Phenacetin,CCOc1ccc(NC(=O)C)cc1,-2.35,True,CCOc1ccc(NC(C)=O)cc1,1,False,0,179.219,13
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,True,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,False,0,322.243,22
1-Heptanol,CCCCCCCO,-1.81,True,CCCCCCCO,1,False,0,116.204,8
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,True,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1,False,0,180.16699999999997,13
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,True,CCCCC1(CC)C(=O)NC(=O)NC1=O,1,False,0,212.249,15
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,True,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,False,0,318.0300000000001,18
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,True,CCCCCCCC(=O)OC,1,False,0,158.24099999999999,11
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,True,CCc1ccc(CC)cc1,1,False,0,134.22199999999998,10
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,True,CCOP(=S)(OCC)SCSC(C)(C)C,1,False,0,288.44,15
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,True,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,False,0,300.314,22
"1,1-Dichloroethylene",ClC(=C)Cl,-1.64,True,C=C(Cl)Cl,1,False,0,96.94399999999999,4
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32,-5.22,True,Cc1cccc2c1Cc1ccccc1-2,1,False,0,180.25000000000003,14
Valeraldehyde,CCCCC=O,-0.85,True,CCCCC=O,1,False,0,86.13399999999999,6
Diphenylamine,N(c1ccccc1)c2ccccc2,-3.504,True,c1ccc(Nc2ccccc2)cc1,1,False,0,169.227,13
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,True,CN(C)C(=O)SCCCCOc1ccccc1,1,False,0,253.367,17
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,True,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1,False,0,353.4900000000001,21
1-Iodoheptane,CCCCCCCI,-4.81,True,CCCCCCCI,1,False,0,226.101,8
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2,-4.88,True,Clc1cccc(-c2ccccc2)c1,1,False,0,188.657,13
4-Pentene-1-ol,OCCCC=C,-0.15,True,C=CCCCO,1,False,0,86.134,6
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,True,O=C1NC(=O)C2(CCC2)C(=O)N1,1,False,0,168.15200000000002,12
