generated_smiles,valid,canonical_smiles,novel_vs_training,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3,qed,lipinski_mw_violation,lipinski_logp_violation,lipinski_hbd_violation,lipinski_hba_violation,lipinski_violations,lipinski_compliant,predicted_logS,predicted_solubility_mol_L,n_descriptors_outside_esol_range,inside_esol_descriptor_range,basic_candidate,qed_score,solubility_score,lipinski_score,multiobjective_score,pareto_front,overall_rank
CC(NC(=O)N1CCCC1c1ccccn1)S(C)(=O)=O,True,CC(NC(=O)N1CCCC1c1ccccn1)S(C)(=O)=O,True,297.3800000000001,1.3187000000000002,79.37,1,4,3,2,1,20,0.5384615384615384,0.9122315106205956,False,False,False,False,0,True,-2.5005825333333296,0.0031580388376199,0,True,True,0.9076586936522539,0.9353725850965962,1.0,0.935826816927323,True,1
Cc1csc(NC(=O)C2CCN(S(C)(=O)=O)CC2)n1,True,Cc1csc(NC(=O)C2CCN(S(C)(=O)=O)CC2)n1,True,303.4090000000001,1.06162,79.37,1,5,3,2,1,19,0.6363636363636364,0.90533430834147,False,False,False,False,0,True,-2.3817442380952345,0.0041519848666352,0,True,True,0.8801747930082797,0.9554967801287948,1.0,0.9305025298988041,True,2
CC1CCN(S(=O)(=O)c2cccc(NC(C)=O)c2)C1=O,True,CC(=O)Nc1cccc(S(=O)(=O)N2CCC(C)C2=O)c1,True,296.348,1.2021,83.55000000000001,1,4,3,2,1,20,0.3846153846153846,0.908179834965329,False,False,False,False,0,True,-2.499153333333327,0.0031684486034211,0,True,True,0.891099356025759,0.9356025758969642,1.0,0.9284556117755289,True,3
CCNC(=O)Cn1cnc2cc(Cl)ccc2c1=O,True,CCNC(=O)Cn1cnc2cc(Cl)ccc2c1=O,True,265.7,1.1859999999999993,63.99,1,3,3,2,2,18,0.25,0.90657144460129,False,False,False,False,0,True,-2.487457999999989,0.0032549325996499,0,True,True,0.8841996320147194,0.937097516099356,1.0,0.9258739650413983,True,4
CCc1cc(C(=O)NC(C)c2nnnn2C)ccc1F,True,CCc1cc(C(=O)NC(C)c2nnnn2C)ccc1F,True,277.303,1.4025999999999996,72.70000000000002,1,4,4,2,2,20,0.3846153846153846,0.9165613201116612,False,False,False,False,0,True,-2.723222999999998,0.0018913721941359,0,True,True,0.9204231830726771,0.8892594296228151,1.0,0.92543123275069,True,5
O=C(CN1CCOCC1)Nc1ccccc1Br,True,O=C(CN1CCOCC1)Nc1ccccc1Br,True,299.168,1.7197999999999998,41.57,1,3,3,2,1,17,0.4166666666666667,0.9238056480893544,False,False,False,False,0,True,-2.8466339999999954,0.0014235279544495,0,True,True,0.9435372585096596,0.859360625574977,1.0,0.9253679852805887,True,6
CC(C)NC(=O)c1ccc(Br)cc1S(C)(=O)=O,True,CC(C)NC(=O)c1ccc(Br)cc1S(C)(=O)=O,True,320.208,1.9908,63.24,1,3,3,1,1,17,0.3636363636363636,0.9262897626490326,False,False,False,False,0,True,-2.9527559999999995,0.0011149207544379,0,True,True,0.9502069917203312,0.8342916283348666,1.0,0.9195952161913523,True,7
Cc1cccc(NC(=O)Cn2cncn2)c1Br,True,Cc1cccc(NC(=O)Cn2cncn2)c1Br,True,295.14,1.98772,59.81,1,3,3,2,2,17,0.1818181818181818,0.9416829207879944,False,False,False,False,0,True,-3.1505789999999987,0.0007070025822286,0,True,True,0.9871205151793928,0.7851885924563018,1.0,0.9190202391904323,True,8
CS(=O)(=O)c1ccccc1C(=O)NCC1CCCO1,True,CS(=O)(=O)c1ccccc1C(=O)NCC1CCCO1,True,283.34900000000005,0.9989,72.47,1,4,4,2,1,19,0.4615384615384615,0.8944382102829735,False,False,False,False,0,True,-2.3169332380952308,0.004820218907291,0,True,True,0.8472861085556578,0.9640064397424103,1.0,0.9186810027598895,True,9
Cn1c(C(=O)N(C)Cc2scnc2CC)ccc1O,True,CCc1ncsc1CN(C)C(=O)c1ccc(O)n1C,True,279.365,2.0218,58.36000000000001,1,4,4,2,2,19,0.3846153846153846,0.9312168380340524,False,False,False,False,0,True,-3.064727000000003,0.0008615351479354,0,True,True,0.9633164673413064,0.8077276908923643,1.0,0.9161971021159154,True,10
