token,count,fraction
c,897116,0.25365590497926904
C,665741,0.18823556355789392
(,344462,0.09739523132010686
),344462,0.09739523132010686
1,281108,0.07948214515950264
O,208383,0.05891944681322708
2,174884,0.04944774063375806
N,147876,0.04181133833831343
=,142415,0.04026726277050304
n,136434,0.03857615931489528
3,52608,0.014874698310084077
F,30681,0.008674928125982542
-,18736,0.00529752789571425
S,17972,0.005081509999027354
s,17454,0.004935047603106134
o,16204,0.004581615180516317
Cl,11878,0.0033584562524174777
[nH],11248,0.00318032631143221
#,7985,0.0022577263155037514
4,5674,0.0016043004526196977
Br,3283,0.0009282549146898955
5,140,3.958443133005951e-05
