generated_smiles,valid,canonical_smiles,novel_vs_training,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3,qed,lipinski_mw_violation,lipinski_logp_violation,lipinski_hbd_violation,lipinski_hba_violation,lipinski_violations,lipinski_compliant,predicted_logS,predicted_solubility_mol_L,n_descriptors_outside_esol_range,inside_esol_descriptor_range,basic_candidate
CCCC1CN(C(=O)c2nc3ccc(F)cc3[nH]2)CC(C)O1,True,CCCC1CN(C(=O)c2nc3ccc(F)cc3[nH]2)CC(C)O1,True,305.35300000000007,2.731600000000001,58.22,1,3,3,3,2,22,0.5,0.9483018776989284,False,False,False,False,0,True,-4.036712942857142,9.189397906397057e-05,0,True,True
O=C(NC1CC1)C1CCN(c2nc3ccccc3s2)CC1,True,O=C(NC1CC1)C1CCN(c2nc3ccccc3s2)CC1,True,301.4150000000001,2.7913000000000014,45.230000000000004,1,4,3,4,2,21,0.5,0.9479300989017617,False,False,False,False,0,True,-4.119305000000005,7.597924960311125e-05,0,True,True
COc1cc(C2(C(=O)N3CCc4ccccc43)CC2)ccc1O,True,COc1cc(C2(C(=O)N3CCc4ccccc43)CC2)ccc1O,True,309.365,3.0217000000000023,49.769999999999996,1,3,3,4,2,23,0.3157894736842105,0.9479150987147357,False,False,False,False,0,True,-4.018473107142868,9.583560588393621e-05,0,True,True
Cc1noc(C)c1CN(C)C(=O)c1cc(C(F)(F)F)c[nH]1,True,Cc1noc(C)c1CN(C)C(=O)c1cc(C(F)(F)F)c[nH]1,True,301.268,2.910540000000001,62.13,1,3,3,2,2,21,0.38461538461538464,0.9478297409145482,False,False,False,False,0,True,-4.259575942857151,5.500777228192306e-05,0,True,True
O=c1ccc(C2CCCCCN2Cc2ccc(F)cc2)n[nH]1,True,O=c1ccc(C2CCCCCN2Cc2ccc(F)cc2)n[nH]1,True,301.36499999999995,3.026300000000001,48.99,1,3,3,3,2,22,0.4117647058823529,0.9477400130182164,False,False,False,False,0,True,-4.118478000000014,7.612407001017347e-05,0,True,True
O=C(c1cccc(Cl)c1)N1CCCC(Cc2nc[nH]n2)C1,True,O=C(c1cccc(Cl)c1)N1CCCC(Cc2nc[nH]n2)C1,True,304.781,2.553,61.88,1,3,3,3,2,21,0.4,0.9476626257269873,False,False,False,False,0,True,-4.033521942857146,9.257166118336143e-05,0,True,True
O=C(Nc1nccs1)c1cccc(C(=O)N2CCCC2)c1,True,O=C(Nc1nccs1)c1cccc(C(=O)N2CCCC2)c1,True,301.3710000000001,2.631400000000001,62.300000000000004,1,4,3,3,2,21,0.26666666666666666,0.9476530735557471,False,False,False,False,0,True,-4.057739942857148,8.755078756508594e-05,0,True,True
Cc1cc(CNC(=O)C2COc3ccccc3N2C)ccc1C,True,Cc1ccc(CNC(=O)C2COc3ccccc3N2C)cc1C,True,310.3970000000001,2.8170400000000013,41.57,1,3,3,3,2,23,0.3157894736842105,0.9476418531234481,False,False,False,False,0,True,-4.114863107142862,7.676034055466729e-05,0,True,True
Cc1ccc(S(=O)(=O)NC2CCCc3ccc(F)cc32)o1,True,Cc1ccc(S(=O)(=O)NC2CCCc3ccc(F)cc32)o1,True,309.362,3.083020000000002,59.31,1,3,3,3,2,21,0.3333333333333333,0.9475765677814707,False,False,False,False,0,True,-4.213458050000013,6.117048867831667e-05,0,True,True
CC(C)NC(=O)c1ccc(-n2cccn2)cc1Br,True,CC(C)NC(=O)c1ccc(-n2cccn2)cc1Br,True,308.179,2.7730000000000015,46.92,1,2,3,2,2,18,0.23076923076923078,0.9475455263994917,False,False,False,False,0,True,-3.793013999999998,0.00016105937149343223,0,True,True
CS(=O)(=O)c1ccc(NC(=O)c2cc(F)ccc2F)cc1,True,CS(=O)(=O)c1ccc(NC(=O)c2cc(F)ccc2F)cc1,True,311.309,2.6206000000000014,63.24,1,3,3,2,2,21,0.07142857142857142,0.9475002959942072,False,False,False,False,0,True,-3.9117318000000028,0.00012253726986323062,0,True,True
CCn1ncc(NC(=O)N2CCN(c3ccccc3)CC2)c1C,True,CCn1ncc(NC(=O)N2CCN(c3ccccc3)CC2)c1C,True,313.4050000000001,2.5655200000000002,53.400000000000006,1,3,3,3,2,23,0.4117647058823529,0.9473185272292947,False,False,False,False,0,True,-3.975593249999997,0.0001057807763295355,0,True,True
Cc1nc(CC(=O)NC2(C)Cc3ccc(F)cc3C2)cs1,True,Cc1nc(CC(=O)NC2(C)Cc3ccc(F)cc3C2)cs1,True,304.39,2.806820000000001,41.99,1,3,3,3,2,21,0.375,0.9471985375695722,False,False,False,False,0,True,-4.109177857142863,7.777179860284786e-05,0,True,True
Cc1cnn(CC2CCN(C(=O)c3ccc(O)cc3)CC2)c1,True,Cc1cnn(CC2CCN(C(=O)c3ccc(O)cc3)CC2)c1,True,299.3740000000001,2.4495200000000006,58.36,1,3,3,3,2,22,0.4117647058823529,0.946800380200357,False,False,False,False,0,True,-3.9656760000000015,0.0001082241042678029,0,True,True
FC(F)(F)c1nccn1CC1CCCN1C(=O)c1ccc[nH]1,True,O=C(c1ccc[nH]1)N1CCCC1Cn1ccnc1C(F)(F)F,True,312.29499999999996,2.5348000000000006,53.92,1,2,3,3,2,22,0.42857142857142855,0.9466921029253077,False,False,False,False,0,True,-3.924573999999998,0.00011896686027130498,0,True,True
Cc1ccc(C#N)cc1NCC(=O)N1CCCc2ccccc21,True,Cc1ccc(C#N)cc1NCC(=O)N1CCCc2ccccc21,True,305.381,3.258000000000002,56.13,1,3,3,3,2,23,0.2631578947368421,0.946673233861185,False,False,False,False,0,True,-4.217263523809535,6.0636828215506586e-05,0,True,True
CCN1CCN(C(=O)c2cccs2)C1(O)c1ccccc1C,True,CCN1CCN(C(=O)c2cccs2)C1(O)c1ccccc1C,True,316.4260000000001,2.6370200000000006,43.78,1,4,3,3,2,22,0.35294117647058826,0.9465414299481708,False,False,False,False,0,True,-4.022400250000001,9.497291106542393e-05,0,True,True
Cc1cccc(N2CC(CO)N(c3ccc(F)cc3)C2=O)n1,True,Cc1cccc(N2CC(CO)N(c3ccc(F)cc3)C2=O)n1,True,301.321,2.33662,56.67,1,3,3,3,2,22,0.25,0.9464138832806993,False,False,False,False,0,True,-3.8218689999999946,0.00015070615856509122,0,True,True
Cc1ccc(CNC(=O)c2snc(C(F)(F)F)c2C)o1,True,Cc1ccc(CNC(=O)c2snc(C(F)(F)F)c2C)o1,True,304.29300000000006,3.3017400000000015,55.13,1,4,3,2,2,20,0.3333333333333333,0.946272059089573,False,False,False,False,0,True,-4.522943809523819,2.9995505857941666e-05,0,True,True
COc1cc2c(cc1-c1c(C#N)ccn1C)NC(=O)C2CC,True,CCC1C(=O)Nc2cc(-c3c(C#N)ccn3C)c(OC)cc21,True,295.34200000000004,3.018080000000001,67.05,1,3,3,3,2,22,0.29411764705882354,0.9460976007368849,False,False,False,False,0,True,-4.176267033333348,6.663968977751787e-05,0,True,True
CNC(=O)c1cc(C(=O)N(C)c2ccc(C)c(C)c2)ccc1C,True,CNC(=O)c1cc(C(=O)N(C)c2ccc(C)c(C)c2)ccc1C,True,310.397,3.2480600000000024,49.410000000000004,1,2,3,2,2,23,0.2631578947368421,0.9458269322920465,False,False,False,False,0,True,-4.365069000000004,4.3145052322558654e-05,0,True,True
Cc1cc(-c2nnc3n2CCS3)c(C(=O)NC2CC2)cc1C,True,Cc1cc(C(=O)NC2CC2)c(-c2nnc3n2CCS3)cc1C,True,314.414,2.5598400000000003,59.81,1,4,3,4,2,22,0.4375,0.9456873141189771,False,False,False,False,0,True,-4.028379050000006,9.367440646068667e-05,0,True,True
O=C(Cn1cc(Br)cn1)Nc1ccccc1F,True,O=C(Cn1cc(Br)cn1)Nc1ccccc1F,True,298.115,2.423400000000001,46.92,1,2,3,2,2,17,0.09090909090909091,0.9456853081626881,False,False,False,False,0,True,-3.2920289999999963,0.0005104709121586473,0,True,True
O=C1CCc2cc(C(=O)Nc3nnc(C4CC4)s3)ccc21,True,O=C(Nc1nnc(C2CC2)s1)c1ccc2c(c1)CCC2=O,True,299.3550000000001,2.7967000000000013,71.95,1,5,3,4,2,21,0.3333333333333333,0.9456030984752001,False,False,False,False,0,True,-4.035866857142866,9.207317997765534e-05,0,True,True
CS(=O)(=O)c1cc(C(=O)Nc2cccc(Cl)c2)cn1C,True,Cn1cc(C(=O)Nc2cccc(Cl)c2)cc1S(C)(=O)=O,True,312.7780000000001,2.3343,68.17,1,3,3,2,2,20,0.15384615384615385,0.9454901567437297,False,False,False,False,0,True,-3.5009780000000026,0.0003155164450088245,0,True,True
O=S(=O)(Nc1ccccc1)c1ccccc1Br,True,O=S(=O)(Nc1ccccc1)c1ccccc1Br,True,312.188,3.249900000000002,46.17,1,2,3,2,2,17,0.0,0.945444190274055,False,False,False,False,0,True,-4.283336000000007,5.207916350709054e-05,0,True,True
Cc1c(Cl)cccc1S(=O)(=O)Nc1cccc(C#N)c1,True,Cc1c(Cl)cccc1S(=O)(=O)Nc1cccc(C#N)c1,True,306.77400000000006,3.320900000000001,69.96000000000001,1,3,3,2,2,20,0.07142857142857142,0.9453044724719546,False,False,False,False,0,True,-4.31284200000001,4.865841969339431e-05,0,True,True
CCNC(=O)c1cnn(-c2cccc(Cl)c2Cl)c1C,True,CCNC(=O)c1cnn(-c2cccc(Cl)c2Cl)c1C,True,298.17300000000006,3.2372200000000015,46.92,1,2,3,2,2,19,0.23076923076923078,0.9452802088250993,False,False,False,False,0,True,-4.4342918333333365,3.6788168471224704e-05,0,True,True
O=C(NCc1cscn1)N1CCOCC1c1cccc(F)c1,True,O=C(NCc1cscn1)N1CCOCC1c1cccc(F)c1,True,321.37699999999995,2.5653000000000006,54.46000000000001,1,4,3,3,2,22,0.3333333333333333,0.9451391241764826,False,False,False,False,0,True,-4.007037250000002,9.839267094740152e-05,0,True,True
O=C1Nc2ccccc2S(=O)(=O)N1CCc1cccc(F)c1,True,O=C1Nc2ccccc2S(=O)(=O)N1CCc1cccc(F)c1,True,320.34499999999997,2.6046000000000005,66.48,1,3,3,3,2,22,0.13333333333333333,0.9451043338101471,False,False,False,False,0,True,-3.899699800000001,0.00012597959272478263,0,True,True
O=C(NCc1ccccc1)N1CCCC(c2ccncc2)C1,True,O=C(NCc1ccccc1)N1CCCC(c2ccncc2)C1,True,295.386,3.1708000000000016,45.230000000000004,1,2,3,3,2,22,0.3333333333333333,0.9450131919245712,False,False,False,False,0,True,-4.513863357142868,3.062926976348043e-05,0,True,True
O=C(Nc1ccc(F)cc1F)c1ccc(N2CCCCC2)nn1,True,O=C(Nc1ccc(F)cc1F)c1ccc(N2CCCCC2)nn1,True,318.32700000000006,2.9974000000000016,58.120000000000005,1,4,3,3,2,23,0.3125,0.9449918679935227,False,False,False,False,0,True,-4.164298240476205,6.850176467823644e-05,0,True,True
NC(=O)CC1CCCN(C(=O)c2cc3ccc(F)cc3s2)C1,True,NC(=O)CC1CCCN(C(=O)c2cc3ccc(F)cc3s2)C1,True,320.38900000000007,2.7680000000000007,63.400000000000006,1,3,3,3,2,22,0.375,0.9449326556277092,False,False,False,False,0,True,-4.16170605,6.891185649086713e-05,0,True,True
CC(=O)C(C#N)c1ccc(Cl)c(-c2csc(=O)[nH]2)c1,True,CC(=O)C(C#N)c1ccc(Cl)c(-c2csc(=O)[nH]2)c1,True,292.747,2.952980000000001,73.72,1,4,3,2,2,19,0.15384615384615385,0.9448968750050963,False,False,False,False,0,True,-4.10556483333334,7.842150391759019e-05,0,True,True
O=C(CN1C(=O)COc2ccc(F)cc21)Nc1cccc(F)c1,True,O=C(CN1C(=O)COc2ccc(F)cc21)Nc1cccc(F)c1,True,318.279,2.3289,58.64,1,3,3,3,2,23,0.125,0.9447670893242952,False,False,False,False,0,True,-3.9077579999999976,0.00012366363269021303,0,True,True
O=C(NCC1CCOc2ccccc21)C1(c2ccccn2)CC1,True,O=C(NCC1CCOc2ccccc21)C1(c2ccccn2)CC1,True,308.3810000000001,2.795700000000001,51.22,1,3,4,4,2,23,0.3684210526315789,0.9446892409112427,False,False,False,False,0,True,-4.027983107142855,9.375984762105256e-05,0,True,True
O=C(Nc1ncccn1)c1cc(F)ccc1N1CCCCCC1,True,O=C(Nc1ncccn1)c1cc(F)ccc1N1CCCCCC1,True,314.3640000000002,3.248400000000002,58.120000000000005,1,4,3,3,2,23,0.35294117647058826,0.9445966791017846,False,False,False,False,0,True,-4.362590573809538,4.339197585479572e-05,0,True,True
CC1CCCCN1C(=O)Nc1ccnn1Cc1cccs1,True,CC1CCCCN1C(=O)Nc1ccnn1Cc1cccs1,True,304.41900000000004,3.3992000000000013,50.160000000000004,1,3,3,3,2,21,0.4666666666666667,0.944549707489514,False,False,False,False,0,True,-4.443185533333342,3.6042463445722294e-05,0,True,True
CN(Cc1ccco1)C(=O)NC1CCc2c(F)cc(F)cc21,True,CN(Cc1ccco1)C(=O)NC1CCc2c(F)cc(F)cc21,True,306.31199999999995,3.386700000000002,45.480000000000004,1,2,3,3,2,22,0.3125,0.9445254784928532,False,False,False,False,0,True,-4.521023723809533,3.0128414399426714e-05,0,True,True
CCn1nc(C(C)(C)C)cc1C(=O)Nc1ccc2c(c1)OCO2,True,CCn1nc(C(C)(C)C)cc1C(=O)Nc1ccc2c(c1)OCO2,True,315.3730000000001,3.1815000000000007,65.38000000000001,1,4,3,3,2,23,0.4117647058823529,0.9444971332290651,False,False,False,False,0,True,-4.27194507380954,5.3463197121759446e-05,0,True,True
Cc1cc(NC(=O)CS(=O)(=O)c2ccccc2)c(C)s1,True,Cc1cc(NC(=O)CS(=O)(=O)c2ccccc2)c(C)s1,True,309.41200000000003,2.7773400000000015,63.24,1,4,4,2,2,20,0.21428571428571427,0.9442991045791483,False,False,False,False,0,True,-4.121341800000005,7.562374840148284e-05,0,True,True
CC(C)c1nc(C2CCCN2C(=O)c2ccc(C#N)cc2)[nH]n1,True,CC(C)c1n[nH]c(C2CCCN2C(=O)c2ccc(C#N)cc2)n1,True,309.373,2.7770800000000015,85.67,1,4,3,3,2,23,0.4117647058823529,0.9442660443340779,False,False,False,False,0,True,-4.069734250000004,8.516590191527698e-05,0,True,True
Cc1cccc(NS(=O)(=O)c2c(C)nn(CC)c2C)c1C,True,CCn1nc(C)c(S(=O)(=O)Nc2cccc(C)c2C)c1C,True,307.4190000000001,2.9374800000000016,63.99,1,3,4,2,2,21,0.4,0.9442535906548225,False,False,False,False,0,True,-4.242301383333342,5.723986709028535e-05,0,True,True
Cc1ccc(C(=O)Nc2nnc(C3CCCCO3)s2)cc1,True,Cc1ccc(C(=O)Nc2nnc(C3CCCCO3)s2)cc1,True,303.38699999999994,3.3404200000000017,64.11,1,5,3,3,2,21,0.4,0.9442137892642155,False,False,False,False,0,True,-4.429431523809537,3.720218740658029e-05,0,True,True
Cc1cc(CN(C)C(=O)NC(C)c2cccnn2)sc1C,True,Cc1cc(CN(C)C(=O)NC(C)c2cccnn2)sc1C,True,304.4190000000001,3.0575400000000013,58.120000000000005,1,4,4,2,2,21,0.4,0.9441574317331913,False,False,False,False,0,True,-4.281873800000007,5.225480122006011e-05,0,True,True
