property,source,n,mean,std,median,min,max
desc_mol_weight,MOSES training,20000,307.1539078,27.99306995118909,310.35699999999997,250.125,349.862
desc_mol_weight,VAE generated,8789,307.65327545795884,33.74453464068382,307.39300000000003,18.015,461.5510000000003
desc_logp,MOSES training,20000,2.4303335475000005,0.9348887764585738,2.5536000000000003,-3.7145999999999986,5.003960000000003
desc_logp,VAE generated,8789,2.4748972101490505,1.054491767882799,2.540680000000001,-2.5365999999999964,5.810000000000003
desc_tpsa,MOSES training,20000,65.91962350000001,18.077054010190157,65.21000000000001,8.17,157.48
desc_tpsa,VAE generated,8789,65.65836500170668,19.856600217306248,64.36,0.0,149.52999999999997
desc_fraction_csp3,MOSES training,20000,0.35066220127653563,0.18315792026134448,0.3333333333333333,0.0,1.0
desc_fraction_csp3,VAE generated,8789,0.34272641575801766,0.1808996471356962,0.3333333333333333,0.0,1.0
qed,MOSES training,20000,0.8056921498908932,0.09562018756012015,0.8220876112748128,0.30653217254809356,0.9482136920288697
qed,VAE generated,8789,0.7976381295231868,0.09860028435819963,0.8113670178497003,0.3277476769246249,0.9483018776989284
predicted_logS,MOSES training,20000,-3.7563462272697703,0.658713610218397,-3.9153709000000045,-5.721671333333346,-1.5942215333333367
predicted_logS,VAE generated,8789,-3.7918073255631923,0.7501370921709047,-3.9185835833333367,-6.6375863333333545,0.077964666666667
