fingerprint_bit,active_molecule_count,active_fraction
fp_0000,4,0.0035842293906810036
fp_0001,184,0.16487455197132617
fp_0002,21,0.01881720430107527
fp_0003,1,0.0008960573476702509
fp_0004,2,0.0017921146953405018
fp_0005,7,0.0062724014336917565
fp_0006,1,0.0008960573476702509
fp_0007,23,0.02060931899641577
fp_0008,0,0.0
fp_0009,4,0.0035842293906810036
fp_0010,0,0.0
fp_0011,3,0.002688172043010753
fp_0012,0,0.0
fp_0013,41,0.036738351254480286
fp_0014,9,0.008064516129032258
fp_0015,1,0.0008960573476702509
fp_0016,18,0.016129032258064516
fp_0017,1,0.0008960573476702509
fp_0018,4,0.0035842293906810036
fp_0019,3,0.002688172043010753
fp_0020,4,0.0035842293906810036
fp_0021,1,0.0008960573476702509
fp_0022,3,0.002688172043010753
fp_0023,11,0.00985663082437276
fp_0024,18,0.016129032258064516
fp_0025,8,0.007168458781362007
fp_0026,3,0.002688172043010753
fp_0027,4,0.0035842293906810036
fp_0028,3,0.002688172043010753
fp_0029,5,0.004480286738351254
fp_0030,0,0.0
fp_0031,11,0.00985663082437276
fp_0032,2,0.0017921146953405018
fp_0033,6,0.005376344086021506
fp_0034,19,0.017025089605734768
fp_0035,3,0.002688172043010753
fp_0036,1,0.0008960573476702509
fp_0037,3,0.002688172043010753
fp_0038,0,0.0
fp_0039,3,0.002688172043010753
fp_0040,3,0.002688172043010753
fp_0041,4,0.0035842293906810036
fp_0042,0,0.0
fp_0043,9,0.008064516129032258
fp_0044,2,0.0017921146953405018
fp_0045,3,0.002688172043010753
fp_0046,1,0.0008960573476702509
fp_0047,9,0.008064516129032258
fp_0048,0,0.0
fp_0049,1,0.0008960573476702509
fp_0050,4,0.0035842293906810036
fp_0051,7,0.0062724014336917565
fp_0052,9,0.008064516129032258
fp_0053,1,0.0008960573476702509
fp_0054,5,0.004480286738351254
fp_0055,0,0.0
fp_0056,3,0.002688172043010753
fp_0057,9,0.008064516129032258
fp_0058,3,0.002688172043010753
fp_0059,0,0.0
fp_0060,1,0.0008960573476702509
fp_0061,15,0.013440860215053764
fp_0062,4,0.0035842293906810036
fp_0063,1,0.0008960573476702509
fp_0064,1,0.0008960573476702509
fp_0065,6,0.005376344086021506
fp_0066,4,0.0035842293906810036
fp_0067,5,0.004480286738351254
fp_0068,3,0.002688172043010753
fp_0069,23,0.02060931899641577
fp_0070,2,0.0017921146953405018
fp_0071,2,0.0017921146953405018
fp_0072,5,0.004480286738351254
fp_0073,0,0.0
fp_0074,11,0.00985663082437276
fp_0075,9,0.008064516129032258
fp_0076,1,0.0008960573476702509
fp_0077,3,0.002688172043010753
fp_0078,1,0.0008960573476702509
fp_0079,4,0.0035842293906810036
fp_0080,456,0.40860215053763443
fp_0081,8,0.007168458781362007
fp_0082,2,0.0017921146953405018
fp_0083,3,0.002688172043010753
fp_0084,45,0.04032258064516129
fp_0085,0,0.0
fp_0086,2,0.0017921146953405018
fp_0087,5,0.004480286738351254
fp_0088,25,0.022401433691756272
fp_0089,5,0.004480286738351254
fp_0090,8,0.007168458781362007
fp_0091,10,0.008960573476702509
fp_0092,14,0.012544802867383513
fp_0093,0,0.0
fp_0094,7,0.0062724014336917565
fp_0095,2,0.0017921146953405018
fp_0096,1,0.0008960573476702509
fp_0097,46,0.04121863799283154
fp_0098,0,0.0
fp_0099,2,0.0017921146953405018
fp_0100,1,0.0008960573476702509
fp_0101,3,0.002688172043010753
fp_0102,10,0.008960573476702509
fp_0103,1,0.0008960573476702509
fp_0104,1,0.0008960573476702509
fp_0105,14,0.012544802867383513
fp_0106,7,0.0062724014336917565
fp_0107,3,0.002688172043010753
fp_0108,1,0.0008960573476702509
fp_0109,7,0.0062724014336917565
fp_0110,7,0.0062724014336917565
fp_0111,0,0.0
fp_0112,2,0.0017921146953405018
fp_0113,14,0.012544802867383513
fp_0114,92,0.08243727598566308
fp_0115,4,0.0035842293906810036
fp_0116,54,0.04838709677419355
fp_0117,11,0.00985663082437276
fp_0118,15,0.013440860215053764
fp_0119,10,0.008960573476702509
fp_0120,7,0.0062724014336917565
fp_0121,9,0.008064516129032258
fp_0122,0,0.0
fp_0123,1,0.0008960573476702509
fp_0124,4,0.0035842293906810036
fp_0125,4,0.0035842293906810036
fp_0126,5,0.004480286738351254
fp_0127,9,0.008064516129032258
fp_0128,2,0.0017921146953405018
fp_0129,3,0.002688172043010753
fp_0130,19,0.017025089605734768
fp_0131,3,0.002688172043010753
fp_0132,0,0.0
fp_0133,8,0.007168458781362007
fp_0134,1,0.0008960573476702509
fp_0135,9,0.008064516129032258
fp_0136,2,0.0017921146953405018
fp_0137,8,0.007168458781362007
fp_0138,2,0.0017921146953405018
fp_0139,1,0.0008960573476702509
fp_0140,21,0.01881720430107527
fp_0141,0,0.0
fp_0142,8,0.007168458781362007
fp_0143,1,0.0008960573476702509
fp_0144,5,0.004480286738351254
fp_0145,28,0.025089605734767026
fp_0146,2,0.0017921146953405018
fp_0147,65,0.05824372759856631
fp_0148,0,0.0
fp_0149,1,0.0008960573476702509
fp_0150,5,0.004480286738351254
fp_0151,22,0.01971326164874552
fp_0152,1,0.0008960573476702509
fp_0153,0,0.0
fp_0154,3,0.002688172043010753
fp_0155,2,0.0017921146953405018
fp_0156,1,0.0008960573476702509
fp_0157,7,0.0062724014336917565
fp_0158,14,0.012544802867383513
fp_0159,1,0.0008960573476702509
fp_0160,8,0.007168458781362007
fp_0161,0,0.0
fp_0162,9,0.008064516129032258
fp_0163,0,0.0
fp_0164,11,0.00985663082437276
fp_0165,53,0.047491039426523295
fp_0166,4,0.0035842293906810036
fp_0167,13,0.011648745519713262
fp_0168,4,0.0035842293906810036
fp_0169,1,0.0008960573476702509
fp_0170,2,0.0017921146953405018
fp_0171,2,0.0017921146953405018
fp_0172,3,0.002688172043010753
fp_0173,1,0.0008960573476702509
fp_0174,0,0.0
fp_0175,7,0.0062724014336917565
fp_0176,1,0.0008960573476702509
fp_0177,4,0.0035842293906810036
fp_0178,1,0.0008960573476702509
