representation,max_depth,min_samples_split,min_samples_leaf,max_features,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2
combined,20.0,2,2,0.5,0.30658505212027687,0.21554395273600224,0.9785294894510039,0.7554980406425478,0.5819479455328881,0.8470660747740459
combined,,2,2,0.5,0.30643495277097416,0.21542126049005172,0.978550507571396,0.7560103794169588,0.5826494145783647,0.8468585810590126
combined,,2,1,0.5,0.22439140968887825,0.16209998206278117,0.9884985426725255,0.756741522758805,0.5814103423423425,0.8465622293829582
combined,20.0,2,1,0.5,0.22521363611347664,0.16238652192757363,0.9884140997948142,0.7585402141799557,0.5860574368790817,0.8458319530891362
combined,10.0,5,4,0.5,0.43878775421316807,0.3170651543785753,0.9560205882667591,0.759734942176635,0.5869925770550265,0.8453459302509696
combined,10.0,2,4,0.5,0.43878775421316807,0.3170651543785753,0.9560205882667591,0.7597349421766351,0.5869925770550266,0.8453459302509695
combined,,5,2,0.5,0.3197457108925799,0.22582065108773886,0.976646613143549,0.7600233161653738,0.5859027406648405,0.8452285033100607
combined,20.0,5,2,0.5,0.3199739666438911,0.22609761168678658,0.9766132588414919,0.7607031711515563,0.5872082066626559,0.8449514875051509
combined,10.0,2,1,0.5,0.297773093317625,0.23041884528327966,0.9797459758468385,0.7608695914200022,0.5882222212611036,0.844883639654489
combined,10.0,2,2,0.5,0.3453330272547907,0.25304490388424294,0.9727594011904013,0.761913616980225,0.5892674798733885,0.8444576624479281
combined,20.0,5,1,0.5,0.26610545181752965,0.19258477489741485,0.9838248631752557,0.7626724835496669,0.5869735085675194,0.8441476675629844
combined,20.0,2,4,0.5,0.43074602715389676,0.30906582571401575,0.9576178504388726,0.763158853888831,0.5899969535663183,0.8439488243542015
combined,20.0,5,4,0.5,0.4307460271538967,0.30906582571401575,0.9576178504388726,0.763158853888831,0.5899969535663183,0.8439488243542015
combined,,2,4,0.5,0.43074602715389676,0.30906582571401575,0.9576178504388726,0.7631588538888312,0.5899969535663185,0.8439488243542014
combined,,5,4,0.5,0.4307460271538967,0.30906582571401575,0.9576178504388726,0.7631588538888313,0.5899969535663184,0.8439488243542013
combined,,5,1,0.5,0.2656323425273448,0.19214067323599435,0.9838823276477667,0.7634270168631118,0.5870065602358103,0.8438391368378244
combined,10.0,5,2,0.5,0.3536032618665685,0.2583546347598923,0.9714390306124021,0.7659679320552885,0.5895566618596941,0.8427979061197148
combined,10.0,5,1,0.5,0.3231464343704703,0.2478174856576257,0.9761472116257353,0.7660067214906309,0.5955419748615352,0.8427819839522189
combined,20.0,2,2,1.0,0.3051286157351379,0.2119234803077045,0.9787329968121818,0.7810173908483078,0.6027349628416778,0.836559922555707
combined,,2,2,1.0,0.3051910680752525,0.21187126486240473,0.9787242902538971,0.7813833700579325,0.6029289899289899,0.836406712945615
combined,,2,1,1.0,0.23692990743052386,0.17031734753363348,0.9871772791414057,0.7834009953670994,0.6015804144144148,0.8355607873498427
combined,,5,4,1.0,0.42150571130191833,0.3006697987067597,0.9594167011859898,0.7837613024954435,0.6088677688271049,0.8354094925573612
combined,,2,4,1.0,0.42150571130191833,0.3006697987067597,0.9594167011859898,0.7837613024954436,0.6088677688271048,0.8354094925573611
combined,20.0,5,4,1.0,0.42150571130191833,0.3006697987067597,0.9594167011859898,0.7837613024954436,0.6088677688271048,0.8354094925573612
combined,20.0,2,4,1.0,0.4215057113019183,0.3006697987067597,0.9594167011859898,0.7837613024954437,0.6088677688271049,0.8354094925573611
combined,20.0,2,1,1.0,0.23818044358065737,0.1714381289056238,0.987041563106866,0.7841116101093347,0.6021920603958195,0.8352623299125178
combined,10.0,2,4,1.0,0.42846917342578816,0.30787922505501786,0.9580647166332703,0.7843789664863843,0.6095118669533942,0.8351499704606384
combined,10.0,5,4,1.0,0.4284691734257881,0.30787922505501786,0.9580647166332703,0.7843789664863843,0.6095118669533944,0.8351499704606384
combined,,5,2,1.0,0.31766021963104885,0.2217832894015437,0.9769502572757163,0.7848365999003686,0.6064331060615062,0.8349575560986319
combined,20.0,5,2,1.0,0.317763315699459,0.22191040818745159,0.9769352933405175,0.7849498324833012,0.6063884065609937,0.8349099295472173
combined,20.0,5,1,1.0,0.2747189802210709,0.19779314167533515,0.9827607745233817,0.7876913464850127,0.6058308843862749,0.8337547293290636
combined,10.0,2,2,1.0,0.33881598287640885,0.24670692320624538,0.9737778560854634,0.7876990991898627,0.6106250113669136,0.833751456836952
combined,10.0,5,2,1.0,0.3480026252793074,0.2535245750084329,0.9723366062087555,0.7881120645335052,0.611890925456563,0.8335770935969679
combined,10.0,2,1,1.0,0.2982591195024073,0.23090137915159636,0.9796798045237785,0.7887410986073141,0.6105281275957266,0.833311325665981
combined,,5,1,1.0,0.2740451910733958,0.19688208456512982,0.9828452343487227,0.7899008395948983,0.6070828330064831,0.8328207773456393
combined,10.0,5,1,1.0,0.3231094078856392,0.24701504242531883,0.9761526774716479,0.7912794129222964,0.6128334564193467,0.8322367295300831
combined,,2,1,sqrt,0.26088060815048847,0.1920072869955158,0.9844538084320846,0.9447281843431794,0.7224733873873874,0.760860732518953
combined,,5,1,sqrt,0.41840822275940726,0.3176016935188564,0.9600109727003513,0.9738591987423163,0.7440061863405864,0.7458854735070181
combined,20.0,2,1,sqrt,0.448533335469308,0.34643238981964836,0.9540453068892197,1.0283861871715385,0.7805690575019387,0.7166327730501861
combined,20.0,5,1,sqrt,0.5479925182331663,0.42283348658606096,0.9314054396693658,1.0381337583725911,0.7944454650933259,0.7112355151815617
combined,,5,2,sqrt,0.7638032513931611,0.5733394236828191,0.8667388907012716,1.0777583848509547,0.8258617883508066,0.6887710616758687
