scaffold,split,n_molecules,mean_logS
,train,315,-1.928279365079365
c1ccccc1,train,253,-2.8576679841897232
c1ccc(-c2ccccc2)cc1,train,39,-6.903205128205129
c1ccc2ccccc2c1,train,21,-3.8272857142857144
O=C1CC(=O)NC(=O)N1,train,19,-2.103842105263158
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,train,17,-4.334941176470588
c1ncncn1,train,16,-3.5090625
c1ccncc1,train,14,-0.2864999999999999
c1ccc(Cc2ccccc2)cc1,train,11,-5.1308181818181815
C1CCCCC1,train,10,-3.0629999999999997
c1cnc2ncncc2n1,train,9,-0.8484444444444444
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,train,9,-4.2524444444444445
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,train,8,-5.241625
O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train,7,-7.069714285714285
O=c1cc[nH]c(=O)[nH]1,train,7,-1.695142857142857
c1ccc2cc3ccccc3cc2c1,train,6,-5.945
O=C1CN=C(c2ccccc2)c2ccccc2N1,train,6,-3.7335
O=C1Nc2cccnc2Nc2ncccc21,train,6,-3.6191666666666666
c1ccc(Oc2ccccc2)cc1,train,6,-4.6049999999999995
c1ccc2ncccc2c1,test,5,-2.072
c1ccc2c(c1)ccc1c3ccccc3ccc21,train,5,-6.8854
c1cncnc1,validation,5,-2.178
C1CCCC1,train,4,-4.19
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,train,4,-1.23975
O=C1Nc2ccccc2Nc2ncccc21,validation,4,-4.677
O=C(Nc1ccccc1)c1ccccc1,test,4,-4.0725
C1=CC2C3C=CC(C3)C2C1,test,3,-5.805666666666667
C1=CCCCC1,validation,3,-3.373333333333333
C1CCOCC1,validation,3,0.3666666666666667
C1CCOC1,train,3,0.41333333333333333
c1ccc2scnc2c1,train,3,-2.83
O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,train,3,-3.6033333333333335
O=C1NC(=O)c2ccccc21,validation,3,-4.1000000000000005
O=C1C=CCCC1,test,3,-1.3233333333333335
O=c1cccnn1-c1ccccc1,train,3,-3.3503333333333334
O=c1cc[nH]n1-c1ccccc1,test,3,-0.09100000000000001
c1ccc2c(c1)CCC1C2CCC2CCCC21,train,3,-4.761666666666667
c1ccc(CCc2ccccc2)cc1,test,3,-3.66
c1ccoc1,validation,3,-1.0366666666666666
O=c1nccc[nH]1,validation,3,-1.195
c1ccc2c(c1)ccc1ccccc12,test,3,-5.6499999999999995
c1ccc2c(c1)CCO2,validation,3,-3.643333333333333
C1CCCCCCC1,test,3,-2.5526666666666666
c1ccc2nc3ccccc3cc2c1,train,2,-3.945
O=C1C=CC(=O)c2ccccc21,test,2,-4.03
O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,validation,2,-3.66
O=S(=O)(c1ccccc1)c1ccccc1,validation,2,-3.447
c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,test,2,-7.885
c1ncc2[nH]cnc2n1,train,2,-2.7605
c1nc[nH]n1,test,2,-1.568
c1ccnnc1,validation,2,-0.30799999999999994
O=c1oc2ccccc2cc1Cc1ccccc1,train,2,-4.866
O=C(Nc1ccccc1)Oc1ccccc1,validation,2,-4.7185
O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,train,2,-5.31
O=c1ocnn1-c1ccccc1,validation,2,-5.0120000000000005
O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,test,2,-4.686999999999999
O=c1ccnc[nH]1,test,2,-2.6505
O=c1ccc2ccccc2o1,validation,2,-4.848000000000001
O=S1(=O)NCNc2ccccc21,test,2,-2.6550000000000002
O=c1[nH]c2ccccc2o1,train,2,-4.032
O=C1CC2CCC1C2,validation,2,-1.905
O=C1NC(=O)C(c2ccccc2)C(=O)N1,validation,2,-2.3455000000000004
O=C1CCCCC1,test,2,-1.475
O=C1CNC(=O)N1,train,2,-1.0
O=C1Nc2ccccc2Oc2ccccc21,test,2,-3.8040000000000003
O=C1CC(=O)NC(=S)N1,train,2,-3.41
O=C1Nc2ccccc2Oc2ncccc21,train,2,-3.3575
C1CCCCCC1,test,2,-2.195
O=C(NC(=O)c1ccccc1)Nc1ccccc1,train,2,-6.65
c1ccc2[nH]ccc2c1,train,2,-1.97
c1ccc2c(c1)CCCC2,validation,2,-3.18
c1ccc2c(c1)Cc1ccccc1-2,test,2,-5.109999999999999
C(=Nc1ccccc1)NC=Nc1ccccc1,test,1,-5.47
C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,train,1,-5.507000000000001
C1=C2CCCCC2C2CCC3CCCC3C2C1,validation,1,-4.65
C1=C2CCCCC2CC2CCC3C4CC5OCCCC5OC4CC3C12,test,1,-7.32
C1=CC(C2C=CC=C2)C=C1,train,1,-7.278
C1=CC(c2ccccc2)C=CN1,validation,1,-4.76
C1=CC2CC1C1C3C=CC(C3)C21,test,1,-6.307
C1=CC2CC1C1C3CC(C4OC34)C21,train,1,-6.29
C1=CC2CC1C1CCCC21,validation,1,-6.86
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,train,1,-7.8
c1ccc2c(c1)c1ccccc1c1ccccc21,validation,1,-6.726
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,test,1,-8.699
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,train,1,-7.87
